:Data_list: ace_mag_1m.txt
:Created: 2017 Aug 19 1714 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2017 08 19  1557   57984   57420    0    -4.7     2.9    -1.8     5.8   -18.0   148.8
2017 08 19  1558   57984   57480    0    -4.3     3.1    -2.5     5.9   -24.8   144.4
2017 08 19  1559   57984   57540    0    -4.8     3.0    -1.9     6.0   -18.7   147.9
2017 08 19  1600   57984   57600    0    -5.1     3.1    -1.3     6.1   -12.0   148.7
2017 08 19  1601   57984   57660    0    -4.5     4.0    -0.6     6.0    -5.5   138.1
2017 08 19  1602   57984   57720    0    -3.7     4.6     0.0     5.9     0.5   129.0
2017 08 19  1603   57984   57780    0    -4.8     3.6    -0.5     6.0    -4.5   143.4
2017 08 19  1604   57984   57840    0    -3.8     4.4    -0.3     5.8    -2.5   131.3
2017 08 19  1605   57984   57900    0    -4.7     3.1     0.1     5.6     0.9   146.3
2017 08 19  1606   57984   57960    0    -4.5     2.6    -0.8     5.2    -8.5   149.8
2017 08 19  1607   57984   58020    0    -2.4    -0.3    -4.5     5.2   -61.5   187.6
2017 08 19  1608   57984   58080    0    -2.4    -0.8    -4.5     5.2   -60.1   198.9
2017 08 19  1609   57984   58140    0    -1.8     0.6    -4.6     5.0   -67.1   162.2
2017 08 19  1610   57984   58200    0    -2.0     0.8    -5.0     5.5   -67.1   158.9
2017 08 19  1611   57984   58260    0    -3.1     0.7    -4.2     5.3   -52.7   166.7
2017 08 19  1612   57984   58320    0    -4.4     0.7    -3.4     5.6   -37.7   170.4
2017 08 19  1613   57984   58380    0    -4.7     0.8    -3.1     5.7   -33.5   170.9
2017 08 19  1614   57984   58440    0    -4.9     0.9    -2.7     5.7   -28.5   169.5
2017 08 19  1615   57984   58500    0    -5.2     1.2    -2.2     5.8   -23.0   166.7
2017 08 19  1616   57984   58560    0    -5.3     1.0    -1.9     5.7   -19.2   169.0
2017 08 19  1617   57984   58620    0    -5.5     0.9    -1.5     5.8   -15.6   170.8
2017 08 19  1618   57984   58680    0    -4.8     0.9    -2.6     5.5   -27.5   169.4
2017 08 19  1619   57984   58740    0    -5.1     0.8    -1.4     5.4   -15.3   171.2
2017 08 19  1620   57984   58800    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2017 08 19  1621   57984   58860    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2017 08 19  1622   57984   58920    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2017 08 19  1623   57984   58980    0    -5.2     1.7    -1.4     5.6   -14.7   161.9
2017 08 19  1624   57984   59040    0    -5.2     0.5    -1.9     5.6   -20.1   174.0
2017 08 19  1625   57984   59100    0    -5.2     0.1    -1.8     5.5   -18.7   179.2
2017 08 19  1626   57984   59160    0    -5.4    -0.4    -0.7     5.5    -7.3   183.9
2017 08 19  1627   57984   59220    0    -5.2    -0.3     0.9     5.2     9.9   183.1
2017 08 19  1628   57984   59280    0    -3.9     1.6     1.8     4.6    23.1   158.1
2017 08 19  1629   57984   59340    0    -2.6     3.4     0.4     4.3     4.9   127.9
2017 08 19  1630   57984   59400    0    -1.7     3.5    -0.8     4.0   -11.4   115.4
2017 08 19  1631   57984   59460    0    -1.5     4.1    -0.9     4.4   -12.1   109.7
2017 08 19  1632   57984   59520    0    -0.9     3.6    -2.1     4.3   -29.2   104.1
2017 08 19  1633   57984   59580    0    -1.1     3.3    -2.0     4.0   -30.0   107.8
2017 08 19  1634   57984   59640    0     0.5     3.9    -2.4     4.6   -30.9    83.1
2017 08 19  1635   57984   59700    0    -0.2     4.0    -1.8     4.4   -24.4    93.2
2017 08 19  1636   57984   59760    0    -0.3     4.0    -2.1     4.6   -27.2    94.4
2017 08 19  1637   57984   59820    0    -0.6     3.6    -2.4     4.4   -33.3    99.3
2017 08 19  1638   57984   59880    0    -0.7     3.6    -2.6     4.5   -35.1   100.4
2017 08 19  1639   57984   59940    0     0.3     2.8    -3.8     4.7   -53.1    83.5
2017 08 19  1640   57984   60000    0    -1.2     2.3    -1.4     3.0   -27.6   118.0
2017 08 19  1641   57984   60060    0    -3.8     2.5     0.3     4.5     3.2   146.8
2017 08 19  1642   57984   60120    0    -4.8     3.2     0.3     5.8     2.9   146.0
2017 08 19  1643   57984   60180    0    -4.8     3.3    -1.6     6.0   -15.6   145.8
2017 08 19  1644   57984   60240    0    -3.4     2.4    -3.4     5.3   -39.0   144.6
2017 08 19  1645   57984   60300    0    -2.7     1.7    -3.4     4.6   -46.3   147.0
2017 08 19  1646   57984   60360    0    -2.8     2.9    -3.3     5.2   -38.9   134.1
2017 08 19  1647   57984   60420    0    -3.3     3.1    -2.1     5.0   -24.7   136.3
2017 08 19  1648   57984   60480    0    -2.9     3.2    -2.5     5.0   -30.3   132.3
2017 08 19  1649   57984   60540    0    -2.3     3.5    -3.2     5.3   -37.7   122.7
2017 08 19  1650   57984   60600    0    -2.8     3.5    -2.9     5.3   -32.8   129.0
2017 08 19  1651   57984   60660    0    -2.7     3.2    -2.9     5.1   -35.0   130.9
2017 08 19  1652   57984   60720    0    -2.8     2.2    -4.3     5.6   -50.4   141.4
2017 08 19  1653   57984   60780    0    -2.6     1.8    -4.2     5.3   -53.0   146.2
2017 08 19  1654   57984   60840    0    -2.5     0.9    -4.7     5.4   -60.9   160.3
2017 08 19  1655   57984   60900    0    -2.4     0.9    -5.2     5.8   -63.6   160.3
2017 08 19  1656   57984   60960    0    -3.3     1.4    -3.6     5.1   -45.3   156.8
2017 08 19  1657   57984   61020    0    -4.1     0.8    -2.9     5.0   -34.6   168.3
2017 08 19  1658   57984   61080    0    -5.0    -0.2    -3.7     6.2   -36.1   182.1
2017 08 19  1659   57984   61140    0    -4.7    -1.3    -3.8     6.2   -38.1   195.7
2017 08 19  1700   57984   61200    0    -4.9    -0.9    -3.8     6.3   -37.5   190.2
2017 08 19  1701   57984   61260    0    -4.9    -1.2    -3.6     6.2   -35.5   193.9
2017 08 19  1702   57984   61320    0    -5.0    -1.2    -3.9     6.4   -37.4   193.4
2017 08 19  1703   57984   61380    0    -5.0    -1.4    -3.9     6.5   -36.4   195.3
2017 08 19  1704   57984   61440    0    -5.0    -1.2    -3.9     6.4   -37.6   193.1
2017 08 19  1705   57984   61500    0    -5.0    -1.0    -3.8     6.4   -36.5   191.6
2017 08 19  1706   57984   61560    0    -5.3    -0.1    -3.6     6.5   -34.4   180.5
2017 08 19  1707   57984   61620    0    -5.4    -0.8    -3.7     6.6   -34.0   187.9
2017 08 19  1708   57984   61680    0    -5.4    -0.8    -3.5     6.5   -32.8   188.7
2017 08 19  1709   57984   61740    0    -5.1    -1.4    -3.8     6.5   -36.2   195.1
2017 08 19  1710   57984   61800    0    -5.0    -1.8    -4.0     6.6   -36.8   200.1
2017 08 19  1711   57984   61860    0    -5.0    -1.8    -3.7     6.4   -35.2   199.4
2017 08 19  1712   57984   61920    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
