:Product: Dourbes_iono.txt
:Issued: 2016 Jun 21 0055 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units for foF2, MUF(D), foEs, foE, fMUF, foF1, fxI & fbEs = MHz
# Units for yF2, D, hmE, h'F, h' & hmF2 = km
# Units for TEC = 10^16 el/m^2  
# Missing data: -1.0,-1,-1.00
#
#       Real-Time Ionosonde Data
#       Dourbes N50E005 Institute Royal Meteorologique-DGS-256
# 
# UT Date   Time
# YR MO DA  HHMM    foF2 hmF2 MUF(D) D  h'F yF2 fMUF  h'  fxI foF1  foE hmE foEs fbEs  ITEC
#-------------------------------------------------------------------------------------------
2016 06 20  1715     5.3 203  2.91   -1 203 119  3.9 251  6.0 -1.0  2.5 103 -1.0 -1.0  10.5
2016 06 20  1720     5.3 272  3.08   -1 272  85  5.1 370  6.0 -1.0  2.5 103 -1.0 -1.0   8.4
2016 06 20  1725     5.3 333  3.08   -1 131  -1  5.0 352  6.2  3.5  2.4 104 -1.0 -1.0  -1.0
2016 06 20  1730     5.4 326  3.11   -1 194  62  5.1 358  6.2  3.9  2.6  92 -1.0 -1.0   9.5
2016 06 20  1735     5.5 319  3.05   -1 189  90  5.0 353  6.2  3.9  2.6 105  2.9 -1.0   9.7
2016 06 20  1740     5.5 319  3.14   -1 189  70  5.2 348  6.2  3.8  2.5 108 -1.0 -1.0   8.6
2016 06 20  1745     5.5 306  3.10   -1 199  70  4.9 326  6.2  3.9  2.3 108  2.8  2.8   8.3
2016 06 20  1750     5.6 198  3.03   -1 198 101  5.1 358  6.2 -1.0  2.5 104  2.3 -1.0  10.2
2016 06 20  1755     5.6 306  3.00   -1 287 100  5.0 346  6.2  3.6  2.4 105  2.8 -1.0  10.5
2016 06 20  1800     5.7 314  3.00   -1 192  95  5.3 369  6.3  3.7  2.3 101  2.8  2.6  10.7
2016 06 20  1805     5.7 229  3.18   -1 229  64  5.3 341  6.4 -1.0  2.4 107  2.7 -1.0   7.7
